year,month,cancellations
"2002","11","415024"
"2002","12","427125"
"2002","9","429996"
"2002","4","438141"
"2000","2","444499"
"2002","10","446590"
"2002","3","447896"
"2002","6","448333"
"2002","5","450046"
"2011","2","455516"
"2000","9","463097"
"2000","4","463263"
"2012","2","464826"
"2002","7","465573"
"2002","8","466764"
"2000","11","467251"
"2000","1","470477"
"2000","6","471100"
"2011","11","478040"
"2000","5","478909"
"2000","12","481038"
"2000","3","482944"
"2010","2","483270"
"2000","7","483342"
"2000","10","485761"
"2012","1","486133"
"2009","2","488410"
"2000","8","491366"
"2011","12","493888"
"2012","12","494218"
"2011","1","494400"
"2003","2","500206"
"2011","10","504397"
"2012","4","505218"
"2011","4","507024"
"2009","11","509540"
"2009","9","510852"
"2012","10","515254"
"2012","5","518423"
"2011","5","520612"
"2010","11","520999"
"2012","3","521628"
"2010","1","521809"
"2010","9","526107"
"2011","3","526687"
"2012","6","526933"
"2003","4","527303"
"2003","9","527714"
"2003","11","528171"
"2011","6","528588"
"2009","12","529269"
"2010","4","529330"
"2006","2","531247"
"2009","10","531799"
"2009","1","532339"
"2003","5","533782"
"2003","6","536496"
"2009","4","537793"
"2010","12","539382"
"2012","8","540793"
"2008","9","540908"
"2011","8","541442"
"2010","5","542747"
"2008","12","544956"
"2012","7","545131"
"2005","2","545332"
"2010","10","545519"
"2009","5","546832"
"2011","7","547219"
"2010","3","549262"
"2010","6","551687"
"2003","1","552109"
"2003","10","552370"
"2004","2","553876"
"2003","12","555495"
"2003","8","556984"
"2009","3","557422"
"2009","6","557594"
"2003","7","558568"
"2003","3","559342"
"2007","2","565604"
"2005","11","566138"
"2009","8","568301"
"2010","8","569217"
"2010","7","570788"
"2005","12","572343"
"2005","9","574253"
"2009","7","580134"
"2006","1","581287"
"2004","4","582970"
"2004","1","583987"
"2004","11","584610"
"2006","9","584937"
"2004","9","585125"
"2006","4","585351"
"2006","11","586197"
"2004","6","588792"
"2005","10","592712"
"2004","5","594457"
"2005","4","594492"
"2005","1","594924"
"2006","6","598315"
"2007","9","600187"
"2004","3","601412"
"2006","5","602919"
"2006","12","604758"
"2007","11","605149"
"2006","3","605217"
"2008","1","605765"
"2004","12","606731"
"2008","6","608665"
"2005","6","609195"
"2004","10","610037"
"2006","10","611718"
"2008","8","612279"
"2004","7","614166"
"2007","4","614648"
"2005","5","614802"
"2008","3","616090"
"2007","12","616382"
"2005","3","617540"
"2006","7","621244"
"2007","1","621559"
"2004","8","623107"
"2008","7","627931"
"2005","7","627961"
"2006","8","628732"
"2007","6","629280"
"2007","10","629992"
"2005","8","630904"
"2007","5","631609"
"2007","8","653279"