description,occurrences
"Southwest Airlines Co.","7743129"
"Delta Air Lines Inc.","3810425"
"American Airlines Inc.","3531669"
"United Air Lines Inc.","3004260"
"SkyWest Airlines Inc.","2293239"
"US Airways Inc.","2126377"
"Envoy Air","1977028"
"ExpressJet Airlines Inc.","1949132"
"Northwest Airlines Inc.","1183883"
"Continental Air Lines Inc.","1156173"
"ExpressJet Airlines Inc. (1)","995187"
"JetBlue Airways","972738"
"Alaska Airlines Inc.","782584"
"AirTran Airways Corporation","770932"
"PSA Airlines Inc.","466643"
"Mesa Airlines Inc.","425224"
"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)","406896"
"Frontier Airlines Inc.","394883"
"Endeavor Air Inc.","316704"
"Independence Air","215594"
"Hawaiian Airlines Inc.","164045"
"Virgin America","108545"
"Spirit Air Lines","105003"
"Trans World Airways LLC","98363"
"ATA Airlines d/b/a ATA","56744"
"Aloha Air Cargo","20727"