airline_name,occurrances
"Aloha Air Cargo","20727"
"Hawaiian Airlines Inc.","54589"
"ATA Airlines d/b/a ATA","56744"
"Trans World Airways LLC","98363"
"Frontier Airlines Inc.","159861"
"Endeavor Air Inc.","169717"
"Independence Air","215594"
"Mesa Airlines Inc.","290513"
"JetBlue Airways","363256"
"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)","406896"
"PSA Airlines Inc.","432017"
"AirTran Airways Corporation","503007"
"Alaska Airlines Inc.","534024"
"ExpressJet Airlines Inc.","711609"
"ExpressJet Airlines Inc. (1)","746515"
"Continental Air Lines Inc.","927967"
"SkyWest Airlines Inc.","1073557"
"Northwest Airlines Inc.","1183883"
"Envoy Air","1202424"
"US Airways Inc.","1517778"
"United Air Lines Inc.","1641092"
"American Airlines Inc.","2018878"
"Delta Air Lines Inc.","2084665"
"Southwest Airlines Co.","3690594"